item_id,page,from_store_number,from_store_name,to_store_number,to_store_name,sku,description,style_color,vendor,vendor_sku,category_code,category_name,from_mtd_turns_raw,from_mtd_turns,to_mtd_turns_raw,to_mtd_turns,size_grid,quantity_breakdown_json,total_quantity,report_total_quantity
34,6,2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,EVER609KH,ZapDpPmAm7PuCAMP 2,PMED/KAKI,CEVE,EVER609_KHAKI,541,Zap.Deportivo Hombre,"0,0",0.0,"0,0",0.0,050 | 060 | 070 | 080 | 090 | 100 | 110 | 120 | 130 | 140 | M,"[{""row"": """", ""column"": ""080"", ""quantity"": 1}]",1,1
35,6,2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,160150BK,ZapDpPtAm7LoEAGL 2,PLAN/NEGR,CWIT,160150_BLACK,541,Zap.Deportivo Hombre,"0,0",0.0,"0,0",0.0,050 | 060 | 070 | 080 | 090 | 100 | 110 | 120 | 130 | 140 | M,"[{""row"": """", ""column"": ""070"", ""quantity"": 1}, {""row"": """", ""column"": ""090"", ""quantity"": 1}]",2,2
36,6,2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,992BN,ZapDpPtAm5LonEAGLE 1,PLAN/CAFE,CWIT,992_BROWN,541,Zap.Deportivo Hombre,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""075"", ""quantity"": 1}]",1,1
37,6,2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CLYDELACEWHNV,ZapPtAm5PuEAGLE 1,PLAN/BLAN,CWIT,CLYDELACE_WHITE NAVY,553,Zap Deportivo Niño,"0,0",0.0,"2,2",2.2,1 | 1.5 | 2 | 2.5 | 3 | 3.5 | 4.5 | 5 | 5.5 | 6 | 10 | 11 | 12 | 12.5 | 13 | 10.5 | 11.5 | 13.5,"[{""row"": """", ""column"": ""12"", ""quantity"": 1}]",1,1
38,6,2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,STRIPESWHCP,ZapDpPtAm5PuEAGLE 1,PLAN/BLAN,CWIT,STRIPES_WHITE COPPER,541,Zap.Deportivo Hombre,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""075"", ""quantity"": 1}]",1,1
39,6,2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,JK618BK,ZapMetRedSinKADI 6,PLAN/NEGR,FJIN,JK618_BLACK PU,514,Zap Casl Pu Plant,"0,0",0.0,"0,0",0.0,34 | 35 | 36 | 37 | 38 | 39 | 40 | 41 | 42 | 43 | 44 | 45 | 46 | M | 32 | 33,"[{""row"": """", ""column"": ""42"", ""quantity"": 1}]",1,1
40,6,2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,PIPERLACEUPBK,ZapPtAM5CueCLAUD 2,PLAN/NEGR,IDLO,PIPERLACEUP_BLACK,504,Zap Casl Cuero Plant,"0,0",0.0,"0,0",0.0,36 | 37 | 38 | 39 | 40 | 40.5 | 41 | 42 | 42.5 | 43 | 44 | 44.5 | 45 | 41.5,"[{""row"": """", ""column"": ""42.5"", ""quantity"": 1}]",1,1
41,6,2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,DR740BK,ZapTmMetCuerDSEEK 6,TMED/NEGR,LCPC,DR740_BLACK,511,Zap Vest PU Tacon H,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""085"", ""quantity"": 1}, {""row"": """", ""column"": ""090"", ""quantity"": 1}, {""row"": """", ""column"": ""100"", ""quantity"": 1}]",3,3
42,6,2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,4210CHLBK,ZapTcMetCharLOREN 1,TCON/NEGR,MKIN,4210_CHAROL BLACK,511,Zap Vest PU Tacon H,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""100"", ""quantity"": 1}]",1,1
43,6,2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,UH065NV,ZapDpPtAm7LonURBAN Z,PLAN/AZUL,PCAR,UH065_NAVY,541,Zap.Deportivo Hombre,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""070"", ""quantity"": 1}]",1,1
