source_mdb_file,source_table,target_table,mdb_file_status,before_row_count,after_row_count,row_delta,before_schema_hash,after_schema_hash,before_content_hash,after_content_hash,diff_status,key_kind,key_columns,detail_file,error
RICASEPK.MDB,Case_Packs,case_packs,same,1365,1365,0,053b45bf8d499df0cae068cd0e25475e7a7db44d3d2870b1e02b0d8535ca5578,053b45bf8d499df0cae068cd0e25475e7a7db44d3d2870b1e02b0d8535ca5578,same_by_mdb_sha256:dcb733b77003a5a31109f9747a95cf243169f91d1898d8ac5452a69d4edda77e,same_by_mdb_sha256:dcb733b77003a5a31109f9747a95cf243169f91d1898d8ac5452a69d4edda77e,same_by_mdb_sha256,primary,Code,,
RICASEPK.MDB,Case_Pack_Qtys,case_pack_qtys,same,2890,2890,0,d50d90f17b587694bab93042c0d521e4b0fd0fa46a0dbed9c62dfdce531981cb,d50d90f17b587694bab93042c0d521e4b0fd0fa46a0dbed9c62dfdce531981cb,same_by_mdb_sha256:dcb733b77003a5a31109f9747a95cf243169f91d1898d8ac5452a69d4edda77e,same_by_mdb_sha256:dcb733b77003a5a31109f9747a95cf243169f91d1898d8ac5452a69d4edda77e,same_by_mdb_sha256,primary,Code|Row|Segment,,
RITAX.MDB,Tax OverRide,tax_over_ride,same,71,71,0,9fe04ddff261bed7675e2a46bee4afe207ac489fbd1fc2fe4860bc91dfe03b56,9fe04ddff261bed7675e2a46bee4afe207ac489fbd1fc2fe4860bc91dfe03b56,same_by_mdb_sha256:b41dc417cabd184064cf4e95d2767ca75f6440998223cd116c3b75ad34450135,same_by_mdb_sha256:b41dc417cabd184064cf4e95d2767ca75f6440998223cd116c3b75ad34450135,same_by_mdb_sha256,primary,Store|Category,,
RITRANSF.MDB,InvTransfers,inv_transfers,size_and_hash_differ,1118,0,-1118,e645c59d9a062cffc999a552a49d815b9b3426623676c5d7077510d156487f9e,e645c59d9a062cffc999a552a49d815b9b3426623676c5d7077510d156487f9e,02e2ba371a7b73636b6575173cac8be0bef982e023a7dc2f8be37d06a702506f,3ed34c4ed846fe34e0cb13eda5cd80140f704018607cc79c0cc61d569d305c72,content_changed,primary,FromStore|Type|ToStore|DateTran,details/inv_transfers_keys.csv,
RITRNSTC.MDB,TimeClock,time_clock,same,49698,49698,0,1f9f2c63de144ddf0239b08625c5dd36e5d080a7716e7e5455569c878dc3650e,1f9f2c63de144ddf0239b08625c5dd36e5d080a7716e7e5455569c878dc3650e,same_by_mdb_sha256:2d2fa77c4fe7e050afa46d5d00b4c3bcc7cb6cf55d641cce0c1eb8f7f6792089,same_by_mdb_sha256:2d2fa77c4fe7e050afa46d5d00b4c3bcc7cb6cf55d641cce0c1eb8f7f6792089,same_by_mdb_sha256,primary,SalesPerson|TimeInReal,,
RIFUTURE.MDB,Future Price Changes,future_price_changes,same,509,509,0,0715a173a39521828a246107a7937401708d95dc53b5b56f66d183d610b61e89,0715a173a39521828a246107a7937401708d95dc53b5b56f66d183d610b61e89,same_by_mdb_sha256:84acc4ed45862fa622f7d6212d3f725656225cc3a82767ce666c1201575c671d,same_by_mdb_sha256:84acc4ed45862fa622f7d6212d3f725656225cc3a82767ce666c1201575c671d,same_by_mdb_sha256,none,,,
RIMAIL.MDB,MailListFamily,mail_list_family,same,141,141,0,8baff9145d22fd25b7e380d03b353e72a849f86fc7e3a983d661cf8a0a023b63,8baff9145d22fd25b7e380d03b353e72a849f86fc7e3a983d661cf8a0a023b63,same_by_mdb_sha256:a119ee63b8e90f3bc37f54c718d913612a1bdddb44e3c02b0e518f12bc243517,same_by_mdb_sha256:a119ee63b8e90f3bc37f54c718d913612a1bdddb44e3c02b0e518f12bc243517,same_by_mdb_sha256,primary,Account|Code,,
RIMAIL.MDB,MailListNames,mail_list_names,same,1610568,1610568,0,38b0e885f56cfb4cf16ec5c1df6702a8442423c2c2abe82074d4d5417a0707e6,38b0e885f56cfb4cf16ec5c1df6702a8442423c2c2abe82074d4d5417a0707e6,same_by_mdb_sha256:a119ee63b8e90f3bc37f54c718d913612a1bdddb44e3c02b0e518f12bc243517,same_by_mdb_sha256:a119ee63b8e90f3bc37f54c718d913612a1bdddb44e3c02b0e518f12bc243517,same_by_mdb_sha256,primary,Account,,
RIMAILED.MDB,Mail Comment Detail,mail_comment_detail,same,1535617,1535617,0,3a8228f90ec80d9314b51dfd2efe552356f6531a3b8a216d3198865ae6b90f27,3a8228f90ec80d9314b51dfd2efe552356f6531a3b8a216d3198865ae6b90f27,same_by_mdb_sha256:baaa026fdc421bddc3e31015ee4caa3360f6a8be4650e44702e3cb5064bfca3f,same_by_mdb_sha256:baaa026fdc421bddc3e31015ee4caa3360f6a8be4650e44702e3cb5064bfca3f,same_by_mdb_sha256,none,,,
RIMAILED.MDB,Mail Purch Detail,mail_purch_detail,same,8014122,8014122,0,cece970ef77b494b43a934f6467059edb5df21690eab810263988140971b2bf0,cece970ef77b494b43a934f6467059edb5df21690eab810263988140971b2bf0,same_by_mdb_sha256:baaa026fdc421bddc3e31015ee4caa3360f6a8be4650e44702e3cb5064bfca3f,same_by_mdb_sha256:baaa026fdc421bddc3e31015ee4caa3360f6a8be4650e44702e3cb5064bfca3f,same_by_mdb_sha256,none,,,
RIMAILED.MDB,Mail Tender Detail,mail_tender_detail,same,2703744,2703744,0,039f83e6c4449c03b211950b7165651c6e071762efbdaa03375fe656af2076f3,039f83e6c4449c03b211950b7165651c6e071762efbdaa03375fe656af2076f3,same_by_mdb_sha256:baaa026fdc421bddc3e31015ee4caa3360f6a8be4650e44702e3cb5064bfca3f,same_by_mdb_sha256:baaa026fdc421bddc3e31015ee4caa3360f6a8be4650e44702e3cb5064bfca3f,same_by_mdb_sha256,none,,,
RIMAILED.MDB,Mail Ticket Detail,mail_ticket_detail,same,2615565,2615565,0,95f44af6b5f469c9b12847ce77129d705ca4c5edf83124cc61e0b43cc8c23e64,95f44af6b5f469c9b12847ce77129d705ca4c5edf83124cc61e0b43cc8c23e64,same_by_mdb_sha256:baaa026fdc421bddc3e31015ee4caa3360f6a8be4650e44702e3cb5064bfca3f,same_by_mdb_sha256:baaa026fdc421bddc3e31015ee4caa3360f6a8be4650e44702e3cb5064bfca3f,same_by_mdb_sha256,none,,,
