file_name,canonical,before_present,after_present,before_path,after_path,before_size,after_size,before_last_write_time,after_last_write_time,before_sha256,after_sha256,file_status
1RITRANS.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\1RITRANS.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\1RITRANS.MDB,1773568,1773568,2026-05-04T17:26:06.912Z,2026-05-04T17:26:10.948Z,bce12a27ffe2fae699d44a0203732be83432d2bdb923075cda40cb6b4e393394,bce12a27ffe2fae699d44a0203732be83432d2bdb923075cda40cb6b4e393394,same
FR.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\FR.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\FR.MDB,40960,40960,2026-05-04T17:26:06.923Z,2026-05-04T17:26:10.958Z,dd0404fb789978f3fd8f6db375a87f9e38de53ebf98cd838260d1b4dd6be67ac,dd0404fb789978f3fd8f6db375a87f9e38de53ebf98cd838260d1b4dd6be67ac,same
INVFISICOINVDETTEMP.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\INVFISICOINVDETTEMP.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\INVFISICOINVDETTEMP.MDB,40960,40960,2026-05-04T17:26:06.930Z,2026-05-04T17:26:10.963Z,96844bd2b44715797ba081f03ea4d68cc03007cc210eee8ba2f19289dc74cbeb,96844bd2b44715797ba081f03ea4d68cc03007cc210eee8ba2f19289dc74cbeb,same
JOELINVDETTEMP.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\JOELINVDETTEMP.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\JOELINVDETTEMP.MDB,40960,40960,2026-05-04T17:26:06.935Z,2026-05-04T17:26:10.971Z,9394f9b8dbe9ef3b38bd2214c5cf3a8d1e52dc93bafca95a36205d1065e85f88,9394f9b8dbe9ef3b38bd2214c5cf3a8d1e52dc93bafca95a36205d1065e85f88,same
LLAMADASINVDETTEMP.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\LLAMADASINVDETTEMP.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\LLAMADASINVDETTEMP.MDB,40960,40960,2026-05-04T17:26:06.941Z,2026-05-04T17:26:10.980Z,ee12bdc047d1c14e28db8e2324239a1923eefe93d86980c09642d88296b452f7,ee12bdc047d1c14e28db8e2324239a1923eefe93d86980c09642d88296b452f7,same
RIADDRS.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIADDRS.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RIADDRS.MDB,90112,90112,2026-05-04T17:26:06.947Z,2026-05-04T17:26:10.986Z,8afb9134c73c0b0701a18436615b1415ad5407ced99b5a7a07c5f7a1501c0e65,8afb9134c73c0b0701a18436615b1415ad5407ced99b5a7a07c5f7a1501c0e65,same
RIALARM.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIALARM.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RIALARM.MDB,155648,155648,2026-05-04T17:26:06.952Z,2026-05-04T17:26:11.000Z,750577547fbe443f6d717ab2dd4a3749fbd924c83967466ddda926b1b5b899e5,750577547fbe443f6d717ab2dd4a3749fbd924c83967466ddda926b1b5b899e5,same
RIARACCT.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIARACCT.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RIARACCT.MDB,49152,49152,2026-05-04T17:26:06.958Z,2026-05-04T17:26:11.007Z,3dd4ea5e7dde30af2a32433e05b23be030cfa9b19767c8aa0aa28cc4e99392fb,3dd4ea5e7dde30af2a32433e05b23be030cfa9b19767c8aa0aa28cc4e99392fb,same
RIARTICK.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIARTICK.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RIARTICK.MDB,94208,94208,2026-05-04T17:26:06.963Z,2026-05-04T17:26:11.012Z,1f069b043697f1aa3d5b097ea56d51deb56718c64fe5471bcc01d8c87b3e3949,1f069b043697f1aa3d5b097ea56d51deb56718c64fe5471bcc01d8c87b3e3949,same
RICASEPK.MDB,yes,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RICASEPK.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RICASEPK.MDB,466944,466944,2026-05-04T17:26:06.980Z,2026-05-04T17:26:11.022Z,dcb733b77003a5a31109f9747a95cf243169f91d1898d8ac5452a69d4edda77e,dcb733b77003a5a31109f9747a95cf243169f91d1898d8ac5452a69d4edda77e,same
RICATEG.MDB,yes,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RICATEG.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RICATEG.MDB,118784,118784,2026-05-04T17:26:06.989Z,2026-05-04T17:26:11.032Z,ad9d7edc8a45c583aa0dab4fa812b469f73d96a3eff389533b48afc8bb8c0408,ad9d7edc8a45c583aa0dab4fa812b469f73d96a3eff389533b48afc8bb8c0408,same
RICOMM.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RICOMM.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RICOMM.MDB,94208,94208,2026-05-04T17:26:06.996Z,2026-05-04T17:26:11.037Z,b0aa78efad09d8fd7edc0b5ea6701feec438a5e3bd7f76296fa85e347a9ded04,b0aa78efad09d8fd7edc0b5ea6701feec438a5e3bd7f76296fa85e347a9ded04,same
RICOUNT-dm.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RICOUNT-dm.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RICOUNT-dm.MDB,364544,364544,2026-05-04T17:26:07.003Z,2026-05-04T17:26:11.045Z,eea3a12ab9e08039f8e11874e539a5ba579ff51fa61efe62e06701dca2c646ee,eea3a12ab9e08039f8e11874e539a5ba579ff51fa61efe62e06701dca2c646ee,same
RICOUNT.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RICOUNT.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RICOUNT.MDB,81920,81920,2026-05-04T17:26:07.009Z,2026-05-04T17:26:11.050Z,8dee6dfd3600936255195ebfe0764492eca0274656f1fcf0b8c00f6d0399af0a,8dee6dfd3600936255195ebfe0764492eca0274656f1fcf0b8c00f6d0399af0a,same
RICOUNTX.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RICOUNTX.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RICOUNTX.MDB,81920,81920,2026-05-04T17:26:07.014Z,2026-05-04T17:26:11.065Z,7cb4337c841df623ede1d1ae4f6939597ae43753cac2554234c69e524526d697,7cb4337c841df623ede1d1ae4f6939597ae43753cac2554234c69e524526d697,same
RIDELETE.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIDELETE.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RIDELETE.MDB,696320,696320,2026-05-04T17:26:07.022Z,2026-05-04T17:26:11.072Z,e111997dcc7ca7db52984ba1bd00e4cfbf8ac0e6e68b64cf7145ed9ccf830da8,c55730e05882079aba4f598b19961bc55f4171e0478392691cec1558c5d767ca,hash_differ
RIDEPT.MDB,yes,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIDEPT.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RIDEPT.MDB,102400,102400,2026-05-04T17:26:07.027Z,2026-05-04T17:26:11.077Z,f3d2137ac24904c5fedca7c4fa78ca63a84dd32dc31808888f1b475e049afaed,f3d2137ac24904c5fedca7c4fa78ca63a84dd32dc31808888f1b475e049afaed,same
