from_store_number,from_store_name,to_store_number,to_store_name,sku,description,category_code,vendor,row_label,column_index,column_label,quantity,from_mtd_turns,to_mtd_turns
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,RN145330GN,CamCpBotMcEAGLE X,328,GJSE,,4,16,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,12164611LWH,CamBotUsfMlLOREN 3,329,IBLA,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,12171651BK2,CamCchBotMlPAULM  A,329,IBLA,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,304LSLBL,GuayBotDiMlLOREN 3,330,IBLA,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,305LSBRK,GuayBotDisMlLOREN 3,330,IBLA,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CUBA6PSSLGN,GuayBotMcLOREN 6,330,IBLA,,4,M,1,0.0,4.8
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,12199711CCLYL,CamtCchBotMcPAUL 6,332,IBLA,,2,XS,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,12221965NV,CamtClDisMcJACK 2,332,PBET,,4,M,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CAMT02YBNVDGY,CamtClUsfMcKING Y,332,HKAI,,2,XS,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CAMT02YBWHBK,CamtClUsfMcKING Y,332,HKAI,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CAMTKU02GNOL,CamtClSmAlgdLOREN U,332,HKAI,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTKV02BK,CamtClUsfMcKING V,332,HKAI,,2,XS,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTKV02BL,CamtClUsfMcKING V,332,HKAI,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTKV02BL,CamtClUsfMcKING V,332,HKAI,,4,M,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTKV02BL,CamtClUsfMcKING V,332,HKAI,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTKV02DGY,CamtClUsfMcKING V,332,HKAI,,3,S,2,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTKV02SBL,CamtClUsfMcKING V,332,HKAI,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTKV02SBL,CamtClUsfMcKING V,332,HKAI,,6,XL,1,0.0,0.0
