skuCode,categoryNumber,season,suffix,dimensionCode,rawCode,canonicalCode,valueCode,labelEs,colorFamilyCode,applied
20262SLTE,567,B,SLTE,upper_material,TE,TE,te,Tela,,false
20265BKTE,567,B,BKTE,color,BK,BK,bk,Negro,neutral,false
20265BKTE,567,B,BKTE,upper_material,TE,TE,te,Tela,,false
20265CPTE,567,B,CPTE,color,CP,CP,cp,Champagne,metallic,false
20265CPTE,567,B,CPTE,upper_material,TE,TE,te,Tela,,false
20265SLTE,567,B,SLTE,color,SL,SL,sl,Plateado,metallic,false
20265SLTE,567,B,SLTE,upper_material,TE,TE,te,Tela,,false
20267BKLN,568,8,BKLN,color,BK,BK,bk,Negro,neutral,false
20267GDLN,568,8,GDLN,color,GD,GD,gd,Dorado,metallic,false
20267SLLN,568,8,SLLN,color,SL,SL,sl,Plateado,metallic,false
20269CPME,585,B,CPME,color,CP,CP,cp,Champagne,metallic,false
20269CPME,585,B,CPME,upper_material,ME,ME,me,Metalico,,false
20269SLME,585,B,SLME,color,SL,SL,sl,Plateado,metallic,false
20269SLME,585,B,SLME,upper_material,ME,ME,me,Metalico,,false
2032-1-BEPV,566,A,BEPV,color,BE,BE,be,Beige,neutral,false
2032-1-BEPV,566,A,BEPV,upper_material,PV,PV,pv,PVC/Vinilo,,false
2032-1BEPV,566,6,BEPV,color,BE,BE,be,Beige,neutral,false
2032-1BEPV,566,6,BEPV,upper_material,PV,PV,pv,PVC/Vinilo,,false
2032-1-WHPV,566,A,WHPV,color,WH,WH,wh,Blanco,neutral,false
2032-1-WHPV,566,A,WHPV,upper_material,PV,PV,pv,PVC/Vinilo,,false
2032-1WHPV,566,6,WHPV,color,WH,WH,wh,Blanco,neutral,false
2032-1WHPV,566,6,WHPV,upper_material,PV,PV,pv,PVC/Vinilo,,false
2032-2-BEPV,566,A,BEPV,color,BE,BE,be,Beige,neutral,false
2032-2-BEPV,566,A,BEPV,upper_material,PV,PV,pv,PVC/Vinilo,,false
2032-2BEPV,566,A,BEPV,color,BE,BE,be,Beige,neutral,false
2032-2BEPV,566,A,BEPV,upper_material,PV,PV,pv,PVC/Vinilo,,false
2032-2-GDPV,566,A,GDPV,color,GD,GD,gd,Dorado,metallic,false
2032-2-GDPV,566,A,GDPV,upper_material,PV,PV,pv,PVC/Vinilo,,false
2032-2GDPV,566,6,GDPV,color,GD,GD,gd,Dorado,metallic,false
2032-2GDPV,566,6,GDPV,upper_material,PV,PV,pv,PVC/Vinilo,,false
