sku_code,dimension_code,value_code,value_label_es,assigned_by,assigned_at
1130-85-GDME,color_family,metallic,Metalicos,seed:derived:color_family,2026-05-07 05:44:06.334
1130-85-GOME,upper_material,me,Metalico,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-85-NVPU,color,nv,Azul Marino,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-85-NVPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-85-NVPU,color_family,blue,Azules,seed:derived:color_family,2026-05-07 05:44:06.334
1130-85-PTME,upper_material,me,Metalico,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-85-PWME,color,pw,Peltre,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-85-PWME,upper_material,me,Metalico,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-85-PWME,color_family,metallic,Metalicos,seed:derived:color_family,2026-05-07 05:44:06.334
1232BKPT,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1232BKPT,upper_material,pt,Patent (Charol),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1232BKPT,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1257CMLNB,upper_material,nu,Nubuck,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1257LBENB,color,be,Beige,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1257LBENB,upper_material,nu,Nubuck,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1257LBENB,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1563-237BKSA,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1563-237BKSA,upper_material,sa,Satin,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1563-237BKSA,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1563-237FUSA,color,fu,Fucsia,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1563-237FUSA,upper_material,sa,Satin,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1563-237FUSA,color_family,pink,Rosas,seed:derived:color_family,2026-05-07 05:44:06.334
1563-237GDME,color,gd,Dorado,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1563-237GDME,upper_material,me,Metalico,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1563-237GDME,color_family,metallic,Metalicos,seed:derived:color_family,2026-05-07 05:44:06.334
160148DN,upper_material,dn,Denim,script:sku-suffix-attributes,2026-05-07 05:44:06.334
16810WHPT,color,wh,Blanco,script:sku-suffix-attributes,2026-05-07 05:44:06.334
16810WHPT,upper_material,pt,Patent (Charol),script:sku-suffix-attributes,2026-05-07 05:44:06.334
16810WHPT,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
16811BKPT,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
16811BKPT,upper_material,pt,Patent (Charol),script:sku-suffix-attributes,2026-05-07 05:44:06.334
16811BKPT,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
16811WNPT,color,wn,Vino,script:sku-suffix-attributes,2026-05-07 05:44:06.334
16811WNPT,upper_material,pt,Patent (Charol),script:sku-suffix-attributes,2026-05-07 05:44:06.334
16811WNPT,color_family,red,Rojos,seed:derived:color_family,2026-05-07 05:44:06.334
16818BEPT,color,be,Beige,script:sku-suffix-attributes,2026-05-07 05:44:06.334
16818BEPT,upper_material,pt,Patent (Charol),script:sku-suffix-attributes,2026-05-07 05:44:06.334
16818BEPT,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
16818BKPT,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
16818BKPT,upper_material,pt,Patent (Charol),script:sku-suffix-attributes,2026-05-07 05:44:06.334
16818BKPT,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
16820BKPU,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
16820BKPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
16820BKPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
16821BKPT,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
16821BKPT,upper_material,pt,Patent (Charol),script:sku-suffix-attributes,2026-05-07 05:44:06.334
16821BKPT,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
16822BEPT,color,be,Beige,script:sku-suffix-attributes,2026-05-07 05:44:06.334
16822BEPT,upper_material,pt,Patent (Charol),script:sku-suffix-attributes,2026-05-07 05:44:06.334
16822BEPT,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1682BEPU,color,be,Beige,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1682BEPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1682BEPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1682BKPU,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1682BKPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1682BKPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1682WHPU,color,wh,Blanco,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1682WHPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1682WHPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1683BEPU,color,be,Beige,script:sku-suffix-attributes,2026-05-07 05:44:06.334
